Date,Description,Amount,Category,Status
2024-01-01,Revonix Corp - Direct Deposit,2500.0,Income,posted

2024-01-01,Acme Properties,-1500.0,Rent,posted
2024-01-01,Uber Eats,-36.49,Coffee & Dining,posted
2024-01-01,Uber Eats,-27.17,Coffee & Dining,posted
2024-01-02,Starbucks,-8.77,Coffee & Dining,posted
2024-01-03,Walmart,-46.33,Groceries,posted
2024-01-05,Netflix,-15.49,Entertainment,posted
2024-01-05,Amazon,-71.22,Shopping,posted
2024-01-06,Chevron Gas,-49.55,Transportation,posted
2024-01-06,Chevron Gas,-48.25,Transportation,posted
2024-01-08,Target,-69.16,Shopping,posted
2024-01-09,McDonald's,-9.43,Coffee & Dining,posted
2024-01-10,Spotify Premium,-10.99,Entertainment,posted
2024-01-10,Target,-75.27,Shopping,posted
2024-01-10,Amazon,-127.75,Shopping,posted
2024-01-12,Target,-16.38,Shopping,posted
2024-01-12,Starbucks,-6.81,Coffee & Dining,posted
2024-01-12,Kroger,-80.07,Groceries,posted
2024-01-13,McDonald's,-8.92,Coffee & Dining,posted
2024-01-13,Walmart,-105.28,Groceries,posted
2024-01-13,Starbucks,-5.2,Coffee & Dining,posted
2024-01-14,Target,-89.83,Shopping,posted
2024-01-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-01-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-01-17,Shell Oil,-45.96,Transportation,posted
2024-01-17,Amazon,-53.02,Shopping,posted
2024-01-18,Adobe Creative Cloud,-54.99,Software,posted
2024-01-19,Amazon,-23.38,Shopping,posted
2024-01-19,Shell Oil,-38.42,Transportation,posted
2024-01-19,Chevron Gas,-32.7,Transportation,posted
2024-01-20,Power & Light Corp,-138.61,Utilities,posted
2024-01-20,City Water District,-49.56,Utilities,posted
2024-01-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-01-20,McDonald's,-12.42,Coffee & Dining,posted
2024-01-20,Target,-53.16,Shopping,posted
2024-01-23,Starbucks,-7.84,Coffee & Dining,posted
2024-01-24,Chevron Gas,-62.64,Transportation,posted
2024-01-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-01-25,Starbucks,-7.66,Coffee & Dining,posted
2024-01-26,Starbucks,-8.94,Coffee & Dining,posted
2024-01-27,Uber Eats,-55.64,Coffee & Dining,posted
2024-01-27,Uber Eats,-50.85,Coffee & Dining,posted
2024-01-28,Target,-45.23,Shopping,posted
2024-01-29,Chevron Gas,-64.74,Transportation,posted
2024-01-29,Uber Eats,-59.51,Coffee & Dining,posted
2024-01-31,Walmart,-119.73,Groceries,posted
2024-02-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-02-01,Acme Properties,-1500.0,Rent,posted
2024-02-01,Shell Oil,-40.73,Transportation,posted
2024-02-02,Chevron Gas,-41.39,Transportation,posted
2024-02-03,Target,-47.5,Shopping,posted
2024-02-03,Target,-91.04,Shopping,posted
2024-02-03,Target,-41.65,Shopping,posted
2024-02-04,Target,-75.13,Shopping,posted
2024-02-05,Netflix,-15.49,Entertainment,posted
2024-02-05,Chevron Gas,-57.67,Transportation,posted
2024-02-05,Chevron Gas,-37.81,Transportation,posted
2024-02-07,Amazon,-178.16,Shopping,posted
2024-02-08,McDonald's,-13.76,Coffee & Dining,posted
2024-02-09,Shell Oil,-62.7,Transportation,posted
2024-02-09,Starbucks,-8.3,Coffee & Dining,posted
2024-02-10,Spotify Premium,-10.99,Entertainment,posted
2024-02-10,McDonald's,-8.5,Coffee & Dining,posted
2024-02-11,Target,-15.6,Shopping,posted
2024-02-11,Kroger,-56.13,Groceries,posted
2024-02-12,Amazon,-67.98,Shopping,posted
2024-02-13,Amazon,-30.07,Shopping,posted
2024-02-13,Uber Eats,-28.61,Coffee & Dining,posted
2024-02-14,Kroger,-52.82,Groceries,posted
2024-02-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-02-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-02-15,Chevron Gas,-35.83,Transportation,posted
2024-02-16,Target,-45.96,Shopping,posted
2024-02-16,Uber Eats,-38.38,Coffee & Dining,posted
2024-02-17,Target,-69.72,Shopping,posted
2024-02-18,Adobe Creative Cloud,-54.99,Software,posted
2024-02-20,Power & Light Corp,-141.5,Utilities,posted
2024-02-20,City Water District,-40.74,Utilities,posted
2024-02-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-02-21,Amazon,-47.45,Shopping,posted
2024-02-22,Chevron Gas,-42.02,Transportation,posted
2024-02-23,Target,-25.7,Shopping,posted
2024-02-23,Target,-64.61,Shopping,posted
2024-02-23,Chevron Gas,-38.44,Transportation,posted
2024-02-24,Chevron Gas,-50.91,Transportation,posted
2024-02-24,Walmart,-45.64,Groceries,posted
2024-02-24,Kroger,-49.03,Groceries,posted
2024-02-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-02-26,Shell Oil,-62.5,Transportation,posted
2024-02-26,Starbucks,-8.54,Coffee & Dining,posted
2024-02-27,Uber Eats,-58.51,Coffee & Dining,posted
2024-02-28,Kroger,-38.27,Groceries,posted
2024-02-28,Starbucks,-4.64,Coffee & Dining,posted
2024-03-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-03-01,Acme Properties,-1500.0,Rent,posted
2024-03-01,Walmart,-66.88,Groceries,posted
2024-03-01,Walmart,-104.1,Groceries,posted
2024-03-01,Shell Oil,-46.72,Transportation,posted
2024-03-02,Shell Oil,-37.14,Transportation,posted
2024-03-03,Starbucks,-7.43,Coffee & Dining,posted
2024-03-03,Target,-40.69,Shopping,posted
2024-03-05,Netflix,-15.49,Entertainment,posted
2024-03-07,Amazon,-49.09,Shopping,posted
2024-03-08,Kroger,-45.37,Groceries,posted
2024-03-08,Chevron Gas,-51.63,Transportation,posted
2024-03-09,Chevron Gas,-56.21,Transportation,posted
2024-03-09,Shell Oil,-66.5,Transportation,posted
2024-03-10,Spotify Premium,-10.99,Entertainment,posted
2024-03-10,Amazon,-34.03,Shopping,posted
2024-03-10,Walmart,-114.16,Groceries,posted
2024-03-11,Chevron Gas,-48.77,Transportation,posted
2024-03-12,Target,-76.63,Shopping,posted
2024-03-13,McDonald's,-14.17,Coffee & Dining,posted
2024-03-13,McDonald's,-10.29,Coffee & Dining,posted
2024-03-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-03-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-03-15,Amazon,-154.61,Shopping,posted
2024-03-15,Uber Eats,-52.61,Coffee & Dining,posted
2024-03-16,Shell Oil,-66.39,Transportation,posted
2024-03-16,Shell Oil,-56.71,Transportation,posted
2024-03-16,Kroger,-59.54,Groceries,posted

2024-03-17,Starbucks,-6.36,Coffee & Dining,posted
2024-03-17,Target,-49.88,Shopping,posted
2024-03-18,Adobe Creative Cloud,-54.99,Software,posted
2024-03-18,Target,-93.54,Shopping,posted
2024-03-18,Walmart,-88.71,Groceries,posted
2024-03-19,Kroger,-43.94,Groceries,posted
2024-03-20,Power & Light Corp,-139.8,Utilities,posted
2024-03-20,City Water District,-33.06,Utilities,posted
2024-03-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-03-20,Target,-23.19,Shopping,posted
2024-03-21,Uber Eats,-27.59,Coffee & Dining,posted
2024-03-22,Starbucks,-4.15,Coffee & Dining,posted
2024-03-22,Target,-45.89,Shopping,posted
2024-03-22,Shell Oil,-62.01,Transportation,posted
2024-03-23,Kroger,-100.72,Groceries,posted
2024-03-23,Walmart,-128.34,Groceries,posted
2024-03-24,Target,-96.5,Shopping,posted
2024-03-24,Starbucks,-8.88,Coffee & Dining,posted
2024-03-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-03-25,Walmart,-35.19,Groceries,posted
2024-03-26,Walmart,-49.99,Groceries,posted
2024-03-28,McDonald's,-8.22,Coffee & Dining,posted
2024-03-28,Starbucks,-4.06,Coffee & Dining,posted
2024-03-29,Chevron Gas,-32.79,Transportation,posted
2024-03-29,McDonald's,-9.98,Coffee & Dining,posted
2024-03-29,McDonald's,-13.07,Coffee & Dining,posted
2024-03-30,Uber Eats,-59.37,Coffee & Dining,posted
2024-03-31,Starbucks,-6.1,Coffee & Dining,posted
2024-03-31,Target,-34.23,Shopping,posted
2024-04-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-04-01,Acme Properties,-1500.0,Rent,posted
2024-04-01,Shell Oil,-69.78,Transportation,posted
2024-04-02,Uber Eats,-59.37,Coffee & Dining,posted
2024-04-03,Shell Oil,-50.93,Transportation,posted
2024-04-05,Netflix,-15.49,Entertainment,posted
2024-04-05,Kroger,-54.17,Groceries,posted
2024-04-05,Kroger,-58.37,Groceries,posted
2024-04-06,Uber Eats,-40.7,Coffee & Dining,posted
2024-04-06,Chevron Gas,-48.27,Transportation,posted
2024-04-06,Walmart,-101.63,Groceries,posted
2024-04-07,Starbucks,-3.92,Coffee & Dining,posted
2024-04-07,Amazon,-86.64,Shopping,posted
2024-04-08,Amazon,-158.65,Shopping,posted
2024-04-09,Chevron Gas,-61.78,Transportation,posted
2024-04-10,Spotify Premium,-10.99,Entertainment,posted
2024-04-10,Shell Oil,-64.47,Transportation,posted
2024-04-10,Walmart,-41.95,Groceries,posted
2024-04-11,Amazon,-51.1,Shopping,posted
2024-04-11,Amazon,-132.01,Shopping,posted
2024-04-12,Amazon,-54.76,Shopping,posted
2024-04-12,Shell Oil,-40.56,Transportation,posted
2024-04-13,Starbucks,-5.42,Coffee & Dining,posted
2024-04-13,Chevron Gas,-53.62,Transportation,posted
2024-04-13,Walmart,-77.88,Groceries,posted
2024-04-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-04-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-04-15,Kroger,-118.2,Groceries,posted
2024-04-18,Adobe Creative Cloud,-54.99,Software,posted
2024-04-18,Amazon,-195.26,Shopping,posted
2024-04-19,Walmart,-38.57,Groceries,posted
2024-04-19,Shell Oil,-39.74,Transportation,posted
2024-04-19,Target,-90.89,Shopping,posted
2024-04-20,Power & Light Corp,-104.74,Utilities,posted
2024-04-20,City Water District,-34.9,Utilities,posted
2024-04-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-04-20,Walmart,-97.36,Groceries,posted
2024-04-20,Amazon,-175.14,Shopping,posted
2024-04-21,Kroger,-54.71,Groceries,posted
2024-04-21,Chevron Gas,-46.89,Transportation,posted
2024-04-22,Target,-43.21,Shopping,posted
2024-04-22,Shell Oil,-46.86,Transportation,posted
2024-04-23,Chevron Gas,-50.4,Transportation,posted
2024-04-23,Walmart,-79.9,Groceries,posted
2024-04-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-04-25,Chevron Gas,-50.03,Transportation,posted
2024-04-26,Target,-31.47,Shopping,posted
2024-04-26,Starbucks,-5.87,Coffee & Dining,posted
2024-04-27,Shell Oil,-45.58,Transportation,posted
2024-04-27,Shell Oil,-58.27,Transportation,posted
2024-04-27,Chevron Gas,-45.79,Transportation,posted
2024-04-29,Uber Eats,-38.39,Coffee & Dining,posted
2024-04-29,Amazon,-17.06,Shopping,posted
2024-05-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-05-01,Acme Properties,-1500.0,Rent,posted
2024-05-01,Target,-20.22,Shopping,posted
2024-05-01,Uber Eats,-39.42,Coffee & Dining,posted
2024-05-02,Walmart,-58.24,Groceries,posted
2024-05-03,Shell Oil,-67.82,Transportation,posted
2024-05-04,Walmart,-63.38,Groceries,posted
2024-05-04,Target,-87.38,Shopping,posted
2024-05-05,Netflix,-15.49,Entertainment,posted
2024-05-05,McDonald's,-8.82,Coffee & Dining,posted
2024-05-05,Uber Eats,-50.76,Coffee & Dining,posted
2024-05-06,Shell Oil,-38.62,Transportation,posted
2024-05-06,Kroger,-74.19,Groceries,posted
2024-05-07,Shell Oil,-35.91,Transportation,posted
2024-05-08,McDonald's,-13.43,Coffee & Dining,posted
2024-05-09,Shell Oil,-49.7,Transportation,posted
2024-05-10,Spotify Premium,-10.99,Entertainment,posted
2024-05-10,McDonald's,-9.11,Coffee & Dining,posted
2024-05-11,Shell Oil,-52.47,Transportation,posted
2024-05-11,Target,-52.03,Shopping,posted
2024-05-11,Target,-80.96,Shopping,posted
2024-05-12,Shell Oil,-61.89,Transportation,posted
2024-05-13,Target,-92.53,Shopping,posted
2024-05-14,Kroger,-82.85,Groceries,posted
2024-05-14,Target,-34.13,Shopping,posted
2024-05-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-05-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-05-15,Target,-53.31,Shopping,posted
2024-05-17,Chevron Gas,-39.13,Transportation,posted
2024-05-17,Chevron Gas,-56.5,Transportation,posted
2024-05-17,Kroger,-35.27,Groceries,posted
2024-05-18,Adobe Creative Cloud,-54.99,Software,posted
2024-05-18,McDonald's,-14.38,Coffee & Dining,posted
2024-05-18,Shell Oil,-49.52,Transportation,posted
2024-05-19,Uber Eats,-46.43,Coffee & Dining,posted
2024-05-20,Power & Light Corp,-119.41,Utilities,posted
2024-05-20,City Water District,-43.77,Utilities,posted
2024-05-20,Global Telecom (Cell),-75.0,Utilities,posted

2024-05-20,Walmart,-24.96,Groceries,posted
2024-05-20,Starbucks,-7.04,Coffee & Dining,posted
2024-05-22,Walmart,-119.76,Groceries,posted
2024-05-22,Target,-63.0,Shopping,posted
2024-05-24,Chevron Gas,-42.99,Transportation,posted
2024-05-24,McDonald's,-9.51,Coffee & Dining,posted
2024-05-24,Shell Oil,-55.91,Transportation,posted
2024-05-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-05-25,Walmart,-126.12,Groceries,posted
2024-05-25,McDonald's,-13.66,Coffee & Dining,posted
--- JUNK ROW HEADER ---,JUNK,JUNK,JUNK,JUNK
2024-05-25,Shell Oil,-47.47,Transportation,posted
2024-05-26,Target,-37.06,Shopping,posted
2024-05-26,Walmart,-29.41,Groceries,posted
